Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
305,Republic Services,10299.4,1073.3,22683.8,23955.7,36000,http://www.republicservices.com,34003.0,0.0,0/100,0/100,0/10,32350.0,70850.0,23275.52,0.16% (Text size 0.04Kb and  Code size 22.7Kb),,,,,,,
306,Liberty Media,10292.0,106,44189.0,9971.6,6753,http://www.libertymedia.com,775573.0,0.0,0/100,0/100,0/10,1420.0,3100.0,13527.04,21.96% (Text size 2.9Kb and  Code size 10.31Kb),,,,,,,
308,Interpublic Group,10221.3,656,17751.9,6278.9,54300,http://www.interpublic.com,32220.0,0.0,0/100,0/100,0/10,34140.0,74770.0,45158.4,41.73% (Text size 18.4Kb and  Code size 25.7Kb),,,,,,,
309,PulteGroup,10213.0,1016.7,10715.6,6014.8,5245,http://www.pultegroupinc.com,1084481.0,0.0,0/100,0/100,0/10,1010.0,2220.0,65536.0,11.38% (Text size 7.28Kb and  Code size 56.72Kb),,,,,,,
310,AES,10189.0,303,33648.0,9040.8,8000,http://www.aes.com,638621.0,0.0,0/100,0/100,0/10,1720.0,3770.0,65536.0,12.17% (Text size 7.79Kb and  Code size 56.21Kb),,,,,,,
311,Fiserv,10187.0,893,77539.0,64507.6,44000,http://www.fiserv.com,32404.0,0.0,0/100,0/100,0/10,33950.0,74340.0,57292.8,19.84% (Text size 11.1Kb and  Code size 44.85Kb),,,,,,,
312,BorgWarner,10168.0,746,9702.0,5037.4,29000,http://www.borgwarner.com,196419.0,0.0,0/100,0/100,0/10,5600.0,12260.0,61716.48,32.98% (Text size 19.88Kb and  Code size 40.39Kb),,,,,,,
313,Oneok,10164.4,1278.6,21812.1,9014.5,2882,http://www.oneok.com,417396.0,0.0,0/100,0/100,0/10,2640.0,5770.0,22958.08,16.13% (Text size 3.62Kb and  Code size 18.8Kb),,,,,,,
314,O'Reilly Automotive,10150.0,1391,10717.2,22353.4,67663,http://www.oreillyauto.com,11148.0,0.0,0/100,0/100,0/10,98670.0,216090.0,,,,,,,,,
315,Assurant,10086.8,382.6,44291.2,6217.9,13900,http://www.assurant.com,64346.0,0.0,0/100,0/100,0/10,17100.0,37440.0,65536.0,28.03% (Text size 17.94Kb and  Code size 46.06Kb),,,,,,,
317,Public Service Enterprise Group,10076.0,1693,47730.0,22685.3,12992,http://www.pseg.com,26477.0,0.0,0/100,0/100,0/10,41550.0,90990.0,6369.28,13.22% (Text size 0.82Kb and  Code size 5.4Kb),,,,,,,
318,News Corp.,10074.0,155,15711.0,5279.7,28000,http://www.newscorp.com,438073.0,0.0,0/100,0/100,0/10,2510.0,5500.0,41922.56,12.25% (Text size 5.01Kb and  Code size 35.92Kb),,,,,,,
319,Calpine,10072.0,770,16649.0,-,2256,http://www.calpine.com,833636.0,0.0,0/100,0/100,0/10,1320.0,2890.0,46223.36,19.27% (Text size 8.7Kb and  Code size 36.44Kb),,,,,,,
320,Auto-Owners Insurance,10007.4,1352.4,27134.8,-,6141,http://www.auto-owners.com,86714.0,0.0,0/100,0/100,0/10,12690.0,27780.0,65536.0,7.1% (Text size 4.54Kb and  Code size 59.46Kb),,,,,,,
321,Mohawk Industries,9970.7,744.2,13386.7,5464.3,41800,http://www.mohawkind.com,402179.0,0.0,0/100,0/100,0/10,2740.0,5990.0,,,,,,,,,
322,PVH,9909.0,417.3,13631.0,2746.2,30750,http://www.pvh.com,107083.0,0.0,0/100,0/100,0/10,10270.0,22500.0,24412.16,40.67% (Text size 9.7Kb and  Code size 14.15Kb),,,,,,,
