Rank,Name,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Website,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Pageviews,Worth,Page Size,Code to Text Ratio,Semrush Rank,Keywords,Organic Traffic,Cost (in USD),Adwords Keywords,Adwords Traffic,Adwords Buget (in USD)
409,Insight Enterprises,7731.2,159.4,4178.2,1485.7,11261,http://www.insight.com,43623.0,0.0,0/100,0/100,0/10,25220.0,55220.0,65536.0,0.57% (Text size 0.36Kb and  Code size 63.64Kb),35480.0,209305.0,53410.0,101163.0,2091.0,3667.0,20274.0
410,Quest Diagnostics,7726.0,858,12843.0,10716.4,47000,http://www.questdiagnostics.com,11063.0,0.0,0/100,0/100,0/10,99430.0,217750.0,63631.36,3.58% (Text size 2.22Kb and  Code size 59.91Kb),,,,,,,
411,KeyCorp,7694.0,1717,144988.0,10057.8,17045,http://www.key.com,8083.0,0.0,0/100,0/100,0/10,136090.0,298030.0,56852.48,20.17% (Text size 11.2Kb and  Code size 44.32Kb),,,,,,,
414,American Tower,7580.3,1887.8,42801.6,96444,5454,http://www.americantower.com,61990.0,0.0,0/100,0/100,0/10,17740.0,38860.0,41349.12,16.39% (Text size 6.62Kb and  Code size 33.76Kb),,,,,,,
415,Graybar Electric,7523.9,144.5,2517.7,-,9000,http://www.graybar.com,106091.0,0.0,0/100,0/100,0/10,10370.0,22700.0,65536.0,5.09% (Text size 3.26Kb and  Code size 60.74Kb),,,,,,,
416,WEC Energy Group,7523.1,1134,34951.8,27799.2,7509,www.wecenergygroup.com,,,,,,,,,,,,,,,,
417,NVR,7428.4,878.5,3809.8,9475,5700,http://www.nvrinc.com,1014765.0,0.0,0/100,0/100,0/10,1080.0,2370.0,11550.72,30.8% (Text size 3.47Kb and  Code size 7.81Kb),,,,,,,
419,Devon Energy,7372.0,-355,13717.0,2645.8,1800,http://www.devonenergy.com,762066.0,0.0,0/100,0/100,0/10,1440.0,3160.0,37130.24,30.29% (Text size 10.98Kb and  Code size 25.28Kb),,,,,,,
420,Blackstone Group,7338.3,2049.7,32585.5,30696.4,2905,http://www.blackstone.com,106127.0,0.0,0/100,0/100,0/10,10360.0,22700.0,65536.0,8.85% (Text size 5.66Kb and  Code size 58.34Kb),,,,,,,
421,Dean Foods,7328.7,-499.9,2228.6,9.7,14500,http://www.deanfoods.com,433461.0,0.0,0/100,0/100,0/10,2540.0,5560.0,65536.0,55.85% (Text size 35.74Kb and  Code size 28.25Kb),,,,,,,
423,UGI,7320.4,256.2,13346.6,5562,12800,http://www.ugicorp.com,1156594.0,0.0,0/100,0/100,0/10,951.0,2080.0,65536.0,11.71% (Text size 7.49Kb and  Code size 56.51Kb),,,,,,,
424,Burlington Stores,7286.4,465.1,5593.9,10441.3,47000,http://www.burlingtonstores.com,99999999.0,0.0,0/100,0/100,0/10,11.0,21.9,65536.0,10.36% (Text size 6.63Kb and  Code size 57.37Kb),,,,,,,
426,Toll Brothers,7224.0,590,10828.1,2439.6,5100,http://www.tollbrothers.com,62304.0,0.0,0/100,0/100,0/10,17660.0,38670.0,33802.24,22.81% (Text size 7.53Kb and  Code size 25.48Kb),14526.0,55627.0,90257.0,81962.0,9070.0,15046.0,35769.0
427,Old Republic International,7213.7,1056.4,21076.3,4634.9,9000,http://www.oldrepublic.com,5229934.0,0.0,0/100,0/100,0/10,210.0,459.9,16599.04,17.35% (Text size 2.81Kb and  Code size 13.4Kb),,,,,,,
428,Asbury Automotive Group,7210.3,184.4,2911.3,1064.8,8500,http://www.asburyauto.com,208784.0,0.0,0/100,0/100,0/10,5270.0,11530.0,18872.32,22.76% (Text size 4.19Kb and  Code size 14.23Kb),65745.0,98358.0,23126.0,90892.0,0.0,0.0,0.0
429,Arthur J. Gallagher,7195.0,668.8,19634.8,15454.9,33247,http://www.ajg.com,124286.0,0.0,0/100,0/100,0/10,8850.0,19380.0,59504.64,37.71% (Text size 21.91Kb and  Code size 36.2Kb),,,,,,,
430,MasTec,7183.2,392.3,4997.0,2506.6,21000,http://www.mastec.com,513615.0,0.0,0/100,0/100,0/10,2140.0,4690.0,50626.56,41.04% (Text size 20.29Kb and  Code size 29.15Kb),,,,,,,
431,Owens Corning,7160.0,405,10006.0,4200.9,19000,http://www.owenscorning.com,151166.0,0.0,0/100,0/100,0/10,7280.0,15940.0,65536.0,9.27% (Text size 5.93Kb and  Code size 58.06Kb),,,,,,,
432,Magellan Health,7159.4,55.9,3092.2,1188.2,10100,http://www.magellanhealth.com,499695.0,0.0,0/100,0/100,0/10,2200.0,4820.0,65536.0,22.78% (Text size 14.58Kb and  Code size 49.42Kb),,,,,,,
433,Dover,7136.4,677.9,8669.5,12094.4,24000,http://www.dovercorporation.com,259262.0,0.0,0/100,0/100,0/10,4240.0,9290.0,65536.0,18.62% (Text size 11.92Kb and  Code size 52.08Kb),67333.0,6843.0,26266.0,31750.0,0.0,0.0,0.0
434,Beacon Roofing Supply,7105.2,-10.6,6392.8,1138,8147,http://www.becn.com,,,,,,,,,,,,,,,,
435,Avery Dennison,7070.1,303.6,5488.8,8485.4,30000,http://www.averydennison.com,132427.0,0.0,0/100,0/100,0/10,8310.0,18190.0,65536.0,76.98% (Text size 49.26Kb and  Code size 14.74Kb),,,,,,,
436,Hanesbrands,6966.9,600.7,7354.0,2816.5,63000,http://www.hanes.com,49568.0,0.0,0/100,0/100,0/10,22190.0,48600.0,65536.0,12.08% (Text size 7.73Kb and  Code size 56.27Kb),,,,,,,
437,Packaging Corp. of America,6964.3,696.4,7235.8,8235.8,15500,http://www.packagingcorp.com,,,,,,,,,,,,,,,,
439,NCR,6915.0,564,8987.0,2287,36000,http://www.ncr.com,51328.0,0.0,0/100,0/100,0/10,21430.0,46930.0,65536.0,26.26% (Text size 16.81Kb and  Code size 47.19Kb),,,,,,,
440,Northern Trust,6895.1,1492.2,136828.4,15791.3,19800,http://www.northerntrust.com,119271.0,0.0,0/100,0/100,0/10,9220.0,20200.0,55429.12,0.3% (Text size 0.16Kb and  Code size 53.97Kb),,,,,,,
441,Cintas,6892.3,885,7436.7,18023.6,45000,http://www.cintas.com,123910.0,0.0,0/100,0/100,0/10,8880.0,19440.0,65536.0,12.11% (Text size 7.75Kb and  Code size 56.25Kb),,,,,,,
443,CMS Energy,6845.0,680,26837.0,16697.2,8459,http://www.cmsenergy.com,515591.0,0.0,0/100,0/100,0/10,2130.0,4670.0,65536.0,9.92% (Text size 6.35Kb and  Code size 57.65Kb),97090.0,2463.0,14280.0,22007.0,0.0,0.0,0.0
444,Seaboard,6840.0,283,6285.0,3273.8,13100,http://www.seaboardcorp.com,2018750.0,0.0,0/100,0/100,0/10,544.0,1190.0,,,322964.0,784.0,3056.0,1332.0,0.0,0.0,0.0
445,Intuit,6784.0,1557,6283.0,59912.6,9400,http://www.intuit.com,254.0,42893.0,61/100,87/100,6.1/10,4330000.0,9480000.0,65536.0,28.64% (Text size 18.33Kb and  Code size 45.67Kb),274.0,1445740.0,12048141.0,27355987.0,16461.0,837660.0,2601601.0
446,Regions Financial,6755.0,1582,126240.0,8587.8,19564,http://www.regions.com,4367.0,0.0,0/100,0/100,0/10,251890.0,551640.0,65536.0,23.49% (Text size 15.03Kb and  Code size 48.97Kb),,,,,,,
447,FM Global,6743.1,2479.3,25053.8,-,5591,http://www.fmglobal.com,366637.0,0.0,0/100,0/100,0/10,3000.0,6570.0,57436.16,46.65% (Text size 26.16Kb and  Code size 29.93Kb),,,,,,,
448,Advanced Micro Devices,6731.0,341,6028.0,53250.4,11400,http://www.amd.com,1949.0,0.0,0/100,0/100,0/10,564390.0,1240000.0,65536.0,19.8% (Text size 12.67Kb and  Code size 51.33Kb),2363.0,199447.0,1140292.0,1108717.0,2917.0,74855.0,129281.0
450,Booz Allen Hamilton Holding,6704.0,418.5,3831.8,9624.3,26100,http://www.boozallen.com,72693.0,0.0,0/100,0/100,0/10,15130.0,33140.0,65536.0,47.02% (Text size 30.09Kb and  Code size 33.91Kb),,,,,,,
452,Rockwell Automation,6694.8,695.8,6113.0,17533.3,23000,http://www.rockwellautomation.com,21557.0,0.0,0/100,0/100,0/10,51030.0,111750.0,65536.0,11.22% (Text size 7.18Kb and  Code size 56.82Kb),,,,,,,
454,Wynn Resorts,6611.1,123,13871.3,6471.4,30200,http://www.wynnresorts.com,588696.0,0.0,0/100,0/100,0/10,1870.0,4090.0,1740.8,10.17% (Text size 0.17Kb and  Code size 1.53Kb),90514.0,459.0,10038.0,10476.0,0.0,0.0,0.0
455,Securian Financial Group,6600.6,434.8,63138.3,-,6400,http://www.securian.com,176714.0,0.0,0/100,0/100,0/10,6220.0,13630.0,46981.12,28.56% (Text size 13.11Kb and  Code size 32.78Kb),,,,,,,
456,Alliance Data Systems,6580.9,278,26494.8,1602.7,8500,http://www.alliancedata.com,142202.0,0.0,0/100,0/100,0/10,7740.0,16940.0,46592.0,42.07% (Text size 19.14Kb and  Code size 26.36Kb),89685.0,1602.0,12874.0,5077.0,0.0,0.0,0.0
457,Weyerhaeuser,6554.0,-76,16406.0,12636.5,9400,http://www.weyerhaeuser.com,387732.0,0.0,0/100,0/100,0/10,2840.0,6210.0,65536.0,7.84% (Text size 5.02Kb and  Code size 58.98Kb),40569.0,4911.0,27534.0,14866.0,0.0,0.0,0.0
459,Intercontinental Exchange,6547.0,1933,94493.0,44342.9,5989,http://www.theice.com,50985.0,0.0,0/100,0/100,0/10,21570.0,47250.0,65536.0,6.09% (Text size 3.9Kb and  Code size 60.1Kb),23537.0,37040.0,51651.0,97916.0,114.0,75.0,84.0
460,American Axle & Manufacturing,6530.9,-484.5,6644.6,408.1,20000,http://www.aam.com,445841.0,0.0,0/100,0/100,0/10,2470.0,5400.0,65536.0,53.8% (Text size 34.43Kb and  Code size 29.57Kb),,,,,,,
461,Hess,6510.0,-408,21782.0,10163.6,1775,http://www.hess.com,399836.0,0.0,0/100,0/100,0/10,2750.0,6020.0,64153.6,10.91% (Text size 6.84Kb and  Code size 55.82Kb),,,,,,,
462,ABM Industries,6498.6,127.4,3692.6,1623.1,140000,http://www.abm.com,158778.0,0.0,0/100,0/100,0/10,6930.0,15170.0,,,,,,,,,
463,Activision Blizzard,6489.0,1503,19845.0,45753.3,9200,http://www.activisionblizzard.com,180772.0,0.0,0/100,0/100,0/10,6090.0,13330.0,42414.08,36.18% (Text size 14.98Kb and  Code size 26.43Kb),,,,,,,
464,GameStop,6466.0,-470.9,2819.7,225.6,30000,http://www.gamestopcorp.com,,,,,,,,,,,,,,,,
465,Apache,6411.0,-3553,18107.0,1577.2,3163,http://www.apachecorp.com,393767.0,0.0,0/100,0/100,0/10,2790.0,6120.0,47616.0,13.09% (Text size 6.09Kb and  Code size 40.41Kb),,,,,,,
466,Science Applications International,6379.0,226,4711.0,4316.9,24311,http://www.saic.com,82317.0,0.0,0/100,0/100,0/10,13360.0,29270.0,58030.08,19.27% (Text size 10.92Kb and  Code size 45.75Kb),,,,,,,
467,AK Steel Holding,6359.4,11.2,4590.6,-,9300,http://www.aksteel.com,573616.0,0.0,0/100,0/100,0/10,1920.0,4200.0,65536.0,35.76% (Text size 22.88Kb and  Code size 41.12Kb),,,,,,,
468,Dillard's,6343.2,111.1,3430.3,863.8,30400,http://www.dillards.com,12826.0,0.0,0/100,0/100,0/10,85760.0,187820.0,65536.0,2.05% (Text size 1.31Kb and  Code size 62.69Kb),,,,,,,
469,Ralph Lauren,6313.0,430.9,5942.8,4928.3,18650,http://www.ralphlauren.com,6614.0,15808.0,59/100,79/100,5.9/10,166310.0,364230.0,65536.0,7.1% (Text size 4.54Kb and  Code size 59.46Kb),,,,,,,
470,Celanese,6297.0,852,9476.0,8775,7714,http://www.celanese.com,424719.0,0.0,0/100,0/100,0/10,2590.0,5670.0,65536.0,24.62% (Text size 15.75Kb and  Code size 48.24Kb),102119.0,4436.0,17613.0,4227.0,0.0,0.0,0.0
471,R.R. Donnelley & Sons,6276.2,-93.2,3330.1,68,36400,http://www.rrdonnelley.com,211245.0,0.0,0/100,0/100,0/10,5210.0,11400.0,28631.04,12.51% (Text size 3.5Kb and  Code size 24.47Kb),,,,,,,
472,Zoetis,6260.0,1500,11545.0,55895,10600,http://www.zoetis.com,287082.0,0.0,0/100,0/100,0/10,3830.0,8390.0,65536.0,19.8% (Text size 12.67Kb and  Code size 51.33Kb),172254.0,3697.0,4411.0,5466.0,0.0,0.0,0.0
473,Ascena Retail Group,6242.8,-661.4,2699.8,13.9,33000,http://www.ascenaretail.com,317550.0,329.0,38/100,38/100,3.8/10,3460.0,7580.0,60416.0,8.95% (Text size 5.28Kb and  Code size 53.72Kb),,,,,,,
474,Clorox,6214.0,820,5116.0,21673.5,8800,http://www.thecloroxcompany.com,306044.0,0.0,0/100,0/100,0/10,3590.0,7870.0,65536.0,26.18% (Text size 16.76Kb and  Code size 47.24Kb),55440.0,16076.0,33462.0,40707.0,0.0,0.0,0.0
475,Ingredion,6209.0,413,6040.0,5049.6,11000,http://www.ingredion.com,720354.0,0.0,0/100,0/100,0/10,1530.0,3340.0,47124.48,30.85% (Text size 14.19Kb and  Code size 31.82Kb),,,,,,,
476,First American Financial,6202.1,707.4,11519.2,4790.6,18412,http://www.firstam.com,47792.0,0.0,0/100,0/100,0/10,23020.0,50410.0,43601.92,28.83% (Text size 12.28Kb and  Code size 30.3Kb),,,,,,,
477,Graphic Packaging Holding,6160.1,206.8,7289.9,3542,18000,http://www.graphicpkg.com,637686.0,445.0,41/100,49/100,4.1/10,1720.0,3770.0,65536.0,15.88% (Text size 10.16Kb and  Code size 53.84Kb),,,,,,,
478,NetApp,6146.0,1169,8741.0,9220.9,10500,http://www.netapp.com,17476.0,0.0,0/100,0/100,0/10,62940.0,137850.0,65536.0,21.77% (Text size 13.93Kb and  Code size 50.07Kb),,,,,,,
478,HD Supply Holdings,6146.0,452,4715.0,4605.3,11500,http://www.hdsupply.com,328185.0,0.0,0/100,0/100,0/10,3350.0,7340.0,65536.0,8.58% (Text size 5.49Kb and  Code size 58.51Kb),,,,,,,
480,TravelCenters of America,6117.4,33.3,3230.9,81.2,18594,http://www.ta-petrol.com,,,,,,,,,,,,,,,,
481,Olin,6110.0,-11.3,9187.8,1841.8,6500,http://www.olin.com,,,,,,,,,,,,,,,,
482,Robert Half International,6074.4,454.4,2311.4,4345.8,16000,http://www.roberthalf.com,17208.0,0.0,0/100,0/100,0/10,63920.0,139990.0,65536.0,15.23% (Text size 9.75Kb and  Code size 54.25Kb),4496.0,235836.0,549038.0,1226932.0,1855.0,4746.0,9923.0
486,TD Ameritrade Holding,6016.0,2208,43786.0,18738.8,9226,http://www.amtd.com,899993.0,0.0,0/100,0/100,0/10,1220.0,2680.0,65536.0,12.73% (Text size 8.15Kb and  Code size 55.85Kb),,,,,,,
487,Analog Devices,5991.1,1363,21392.6,33010.9,16400,http://www.analog.com,8231.0,0.0,0/100,0/100,0/10,133640.0,292670.0,65536.0,22.78% (Text size 14.58Kb and  Code size 49.42Kb),,,,,,,
488,Ameren,5910.0,828,28933.0,17969.9,9323,http://www.ameren.com,35279.0,0.0,0/100,0/100,0/10,31180.0,68280.0,53913.6,27.35% (Text size 14.4Kb and  Code size 38.25Kb),,,,,,,
489,Williams-Sonoma,5898.0,356.1,4054.0,3282.4,19300,http://www.williams-sonomainc.com,204694.0,0.0,0/100,0/100,0/10,5370.0,11770.0,19322.88,22.41% (Text size 4.23Kb and  Code size 14.64Kb),23323.0,8227.0,50863.0,12250.0,0.0,0.0,0.0
490,Realogy Holdings,5870.0,-188,7543.0,346.9,10150,http://www.realogy.com,256183.0,0.0,0/100,0/100,0/10,4290.0,9400.0,71.68,0% (Text size 0Kb and  Code size 0.07Kb),,,,,,,
491,Commercial Metals,5829.0,198.1,3758.8,1880,11524,http://www.cmc.com,375416.0,0.0,0/100,0/100,0/10,2930.0,6420.0,23040.0,10.67% (Text size 2.4Kb and  Code size 20.1Kb),,,,,,,
492,Rush Enterprises,5809.8,141.6,3407.3,1145.6,7244,http://www.rushenterprises.com,1493147.0,0.0,0/100,0/100,0/10,736.0,1610.0,13189.12,15.64% (Text size 2.01Kb and  Code size 10.87Kb),236487.0,3581.0,4606.0,8788.0,0.0,0.0,0.0
493,Franklin Resources,5774.5,1195.7,14532.2,8293.2,9597,http://www.franklinresources.com,871801.0,0.0,0/100,0/100,0/10,1260.0,2760.0,32706.56,14.26% (Text size 4.55Kb and  Code size 27.38Kb),376947.0,2631.0,2486.0,4557.0,0.0,0.0,0.0
494,Fortune Brands Home & Security,5764.6,431.9,6291.3,6042.3,24700,http://www.fbhs.com,1418720.0,0.0,0/100,0/100,0/10,775.0,1700.0,25477.12,22.72% (Text size 5.65Kb and  Code size 19.23Kb),,,,,,,
495,Levi Strauss,5763.1,394.6,4232.4,4961.2,15800,http://www.levistrauss.com,175158.0,0.0,0/100,0/100,0/10,6280.0,13750.0,28815.36,19.13% (Text size 5.38Kb and  Code size 22.75Kb),,,,,,,
496,Crown Castle International,5763.0,860,38457.0,60178.6,5100,http://www.crowncastle.com,219735.0,0.0,0/100,0/100,0/10,5010.0,10960.0,64337.92,7.17% (Text size 4.51Kb and  Code size 58.33Kb),,,,,,,
497,Simon Property Group,5755.2,2101.6,31231.6,16834.8,3750,http://www.simon.com,19946.0,0.0,0/100,0/100,0/10,55150.0,120770.0,65536.0,0.51% (Text size 0.33Kb and  Code size 63.67Kb),461.0,641613.0,7128390.0,6668950.0,72.0,6089.0,8051.0
498,Cerner,5692.6,529.5,6894.6,19164.4,27400,http://www.cerner.com,16746.0,0.0,0/100,0/100,0/10,65690.0,143850.0,65536.0,37.54% (Text size 24.03Kb and  Code size 39.97Kb),20870.0,27123.0,108434.0,454001.0,0.0,0.0,0.0
499,Post Holdings,5681.1,124.7,11951.6,5732,10100,http://www.postholdings.com,661570.0,0.0,0/100,0/100,0/10,1660.0,3640.0,,,138223.0,3890.0,10482.0,7595.0,0.0,0.0,0.0
500,Huntington Bancshares,5655.0,1411,109002.0,8398.6,15664,http://www.huntington.com,6254.0,0.0,0/100,0/100,0/10,175890.0,385190.0,65536.0,23.13% (Text size 14.8Kb and  Code size 49.2Kb),,,,,,,
501,KBR,5639.0,202,5364.0,2942.6,28000,http://www.kbr.com,121839.0,0.0,0/100,0/100,0/10,9030.0,19770.0,65536.0,61.5% (Text size 39.36Kb and  Code size 24.64Kb),,,,,,,
502,Sprouts Farmers Market,5634.8,149.6,2723.0,2185.1,30000,http://www.sprouts.com,29239.0,0.0,0/100,0/100,0/10,37620.0,82390.0,65536.0,0.32% (Text size 0.21Kb and  Code size 63.79Kb),,,,,,,
503,LPL Financial Holdings,5624.9,559.9,5880.2,4305.4,4343,http://www.lpl.com,61124.0,0.0,0/100,0/100,0/10,18000.0,39410.0,53319.68,35.97% (Text size 18.73Kb and  Code size 33.34Kb),,,,,,,
504,T. Rowe Price,5617.9,2131.3,9330.4,22788.1,7365,http://www.troweprice.com,12069.0,168.0,52.28/100,63.27/100,4.95/10,91140.0,199600.0,63467.52,26.27% (Text size 16.28Kb and  Code size 45.7Kb),3633.0,41965.0,447505.0,547186.0,10137.0,36298.0,155746.0
505,Yum Brands,5597.0,1294,5231.0,20615.4,34000,http://www.yum.com,62571.0,0.0,0/100,0/100,0/10,17580.0,38500.0,65536.0,3.9% (Text size 2.5Kb and  Code size 61.5Kb),20461.0,8922.0,65616.0,116132.0,0.0,0.0,0.0
506,Chipotle Mexican Grill,5586.4,350.2,5104.6,18171.4,83000,http://www.chipotle.com,11046.0,0.0,0/100,0/100,0/10,99580.0,218090.0,57159.68,17.51% (Text size 9.78Kb and  Code size 46.04Kb),,,,,,,
507,Patterson,5574.5,83.6,3269.3,1464.9,7800,http://www.pattersoncompanies.com,139861.0,0.0,0/100,0/100,0/10,7860.0,17220.0,62464.0,12.71% (Text size 7.75Kb and  Code size 53.25Kb),,,,,,,
508,RPM International,5564.6,266.6,5441.4,7721.1,14957,http://www.rpminc.com,1451815.0,0.0,0/100,0/100,0/10,757.0,1660.0,27545.6,18.81% (Text size 5.06Kb and  Code size 21.84Kb),169803.0,2505.0,7026.0,5049.0,0.0,0.0,0.0
509,Equinix,5562.1,507.5,23965.6,53365.7,8378,http://www.equinix.com,43956.0,0.0,0/100,0/100,0/10,25030.0,54810.0,65536.0,53.47% (Text size 34.22Kb and  Code size 29.78Kb),,,,,,,
510,Navient,5529.0,597,94903.0,1465.5,5800,http://www.navient.com,5275.0,0.0,0/100,0/100,0/10,208530.0,456680.0,35471.36,42.64% (Text size 14.77Kb and  Code size 19.87Kb),,,,,,,
512,ON Semiconductor,5517.9,211.7,8425.5,5113.7,34800,http://www.onsemi.com,31791.0,0.0,0/100,0/100,0/10,34600.0,75770.0,65536.0,33.71% (Text size 21.57Kb and  Code size 42.42Kb),22057.0,74682.0,93181.0,139835.0,137.0,175.0,249.0
513,TransDigm Group,5517.2,889.8,16254.7,17190.3,18300,http://www.transdigm.com,1211776.0,0.0,0/100,0/100,0/10,907.0,1990.0,46991.36,14.24% (Text size 6.54Kb and  Code size 39.35Kb),,,,,,,
514,Host Hotels & Resorts,5469.0,920,12305.0,7792.9,175,http://www.hosthotels.com,690968.0,0.0,0/100,0/100,0/10,1590.0,3480.0,65536.0,2.17% (Text size 1.39Kb and  Code size 62.61Kb),285370.0,8266.0,4066.0,1545.0,0.0,0.0,0.0
515,Select Medical Holdings,5453.9,148.4,7340.3,2014.7,42800,http://www.selectmedicalholdings.com,,,,,,,,,,,,,,,,
516,Par Pacific Holdings,5401.5,40.8,2700.6,380.6,1408,http://www.parpacific.com/,1847377.0,0.0,0/100,0/100,0/10,595.0,1310.0,22732.8,16.04% (Text size 3.56Kb and  Code size 18.64Kb),,,,,,,
517,Sonoco Products,5374.2,291.8,5126.3,4650.7,23000,http://www.sonoco.com,283149.0,0.0,0/100,0/100,0/10,3880.0,8500.0,51271.68,32.79% (Text size 16.42Kb and  Code size 33.65Kb),,,,,,,
518,Roper Technologies,5366.8,1767.9,18108.9,33086.1,16460,http://www.ropertech.com,,,,,,,,,,,,,,,,
519,Harley-Davidson,5361.8,423.6,10528.2,2892.7,5600,http://www.harley-davidson.com,7840.0,0.0,0/100,0/100,0/10,140310.0,307270.0,65536.0,49.19% (Text size 31.48Kb and  Code size 32.52Kb),1244.0,104450.0,1549029.0,1023853.0,3021.0,52131.0,28279.0
521,Kelly Services,5355.6,112.4,2480.6,496.4,7700,http://www.kellyservices.com,99999999.0,0.0,0/100,0/100,0/10,11.0,21.9,44359.68,17.75% (Text size 7.69Kb and  Code size 35.63Kb),,,,,,,
523,McCormick,5347.4,702.7,10362.1,18767.4,12400,http://www.mccormickcorporation.com,638020.0,0.0,0/100,0/100,0/10,1720.0,3770.0,50063.36,5.86% (Text size 2.87Kb and  Code size 46.02Kb),,,,,,,
524,MDU Resources Group,5336.9,335.5,7683.1,4310.2,13359,http://www.mdu.com,882236.0,0.0,0/100,0/100,0/10,1250.0,2730.0,,,,,,,,,
525,Fastenal,5333.7,790.9,3799.9,17949.9,21948,http://www.fastenal.com,39105.0,0.0,0/100,0/100,0/10,28130.0,61600.0,65536.0,38.12% (Text size 24.39Kb and  Code size 39.61Kb),,,,,,,
526,Big Lots,5323.2,242.5,3189.3,557,22250,http://www.biglots.com,18127.0,0.0,0/100,0/100,0/10,60680.0,132900.0,65536.0,32.72% (Text size 20.94Kb and  Code size 43.06Kb),,,,,,,
527,Penn National Gaming,5301.4,43.9,14194.5,1478.3,28300,http://www.pngaming.com,710657.0,0.0,0/100,0/100,0/10,1550.0,3390.0,50944.0,31.88% (Text size 15.86Kb and  Code size 33.89Kb),,,,,,,
528,Western Union,5292.1,1058.3,8758.5,7489.9,11500,http://www.westernunion.com,2923.0,0.0,0/100,0/100,0/10,376330.0,824160.0,65536.0,7.17% (Text size 4.59Kb and  Code size 59.41Kb),964.0,513879.0,3594808.0,6130047.0,2842.0,43859.0,57148.0
529,Under Armour,5267.1,92.1,4843.5,3878.1,11700,http://www.uabiz.com,528431.0,3.0,34.73/100,50.21/100,3.62/10,2080.0,4560.0,,,63415.0,4165.0,17494.0,29802.0,0.0,0.0,0.0
530,Xylem,5249.0,401,7710.0,11737.9,16300,http://www.xyleminc.com,238295.0,0.0,0/100,0/100,0/10,4620.0,10110.0,65536.0,20.54% (Text size 13.15Kb and  Code size 50.85Kb),,,,,,,
531,Skechers U.S.A.,5242.5,346.6,4892.9,3724.9,8550,http://www.skx.com,2552846.0,0.0,0/100,0/100,0/10,430.0,941.7,6871.04,46.26% (Text size 3.1Kb and  Code size 3.6Kb),136556.0,619.0,9282.0,5707.0,0.0,0.0,0.0
532,Domtar,5220.0,84,4903.0,1217.8,10000,http://www.domtar.com,431371.0,0.0,0/100,0/100,0/10,2550.0,5580.0,65536.0,36.14% (Text size 23.13Kb and  Code size 40.87Kb),,,,,,,
533,NiSource,5208.9,383.1,22659.8,9545.1,8363,http://www.nisource.com,308642.0,0.0,0/100,0/100,0/10,3560.0,7800.0,65536.0,0.44% (Text size 0.28Kb and  Code size 63.72Kb),,,,,,,
534,Marathon Oil,5190.0,480,20245.0,2618.3,2000,http://www.marathonoil.com,336976.0,0.0,0/100,0/100,0/10,3260.0,7150.0,18155.52,21.88% (Text size 3.88Kb and  Code size 13.85Kb),,,,,,,
536,Telephone & Data Systems,5176.0,121,10781.0,1923.7,9400,http://www.tdsinc.com,,,,,,,,,,,,,,,,
537,Agilent Technologies,5163.0,1071,9452.0,22177.2,16300,http://www.agilent.com,23093.0,0.0,0/100,0/100,0/10,47630.0,104320.0,39116.8,20.31% (Text size 7.76Kb and  Code size 30.44Kb),18868.0,103247.0,121765.0,214438.0,3530.0,36730.0,157340.0
538,Ametek,5158.6,861.3,9844.6,16506.3,18100,http://www.ametek.com,161154.0,0.0,0/100,0/100,0/10,6830.0,14950.0,65536.0,19.62% (Text size 12.55Kb and  Code size 51.45Kb),81090.0,6849.0,23401.0,28978.0,0.0,0.0,0.0
540,International Flavors & Fragrances,5140.1,455.9,13287.4,10902.4,13668,http://www.iff.com,218670.0,0.0,0/100,0/100,0/10,5030.0,11020.0,65536.0,24.52% (Text size 15.69Kb and  Code size 48.31Kb),,,,,,,
541,ADT,5125.7,-424.2,16083.7,3282.7,17500,http://www.adt.com,58910.0,0.0,0/100,0/100,0/10,18670.0,40890.0,65536.0,48.36% (Text size 30.95Kb and  Code size 33.05Kb),4399.0,80914.0,564515.0,6728292.0,15821.0,119210.0,846397.0
542,Welltower,5121.3,1232.4,33380.8,18795.2,443,www.welltower.com,886266.0,0.0,0/100,0/100,0/10,1240.0,2720.0,15175.68,9.94% (Text size 1.47Kb and  Code size 13.34Kb),168597.0,2444.0,9162.0,15597.0,0.0,0.0,0.0
543,Windstream Holdings,5115.4,-3090,9897.5,2.2,11945,http://www.windstream.com,44688.0,0.0,0/100,0/100,0/10,24620.0,53910.0,65536.0,0.24% (Text size 0.16Kb and  Code size 63.84Kb),4675.0,54671.0,304972.0,1060244.0,318.0,12921.0,26802.0
545,Kemper,5039.2,531.1,12989.1,4970.1,8900,http://www.kemper.com,176400.0,0.0,0/100,0/100,0/10,6240.0,13660.0,59883.52,18.53% (Text size 10.84Kb and  Code size 47.65Kb),,,,,,,
546,Hyatt Hotels,5020.0,766,8417.0,4852.5,55000,http://www.hyatt.com,4637.0,0.0,0/100,0/100,0/10,237220.0,519520.0,,,,,,,,,
547,Alexion Pharmaceuticals,4991.1,2404.3,17544.6,19942.4,3082,http://www.alexion.com,508693.0,0.0,0/100,0/100,0/10,2160.0,4740.0,65536.0,36.82% (Text size 23.57Kb and  Code size 40.43Kb),64914.0,4961.0,29480.0,150631.0,0.0,0.0,0.0
