,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
361,374,National Oilwell Varco,8479.0,-6095,13149.0,3793.9,34645,nov.com,77020,0,0/,0/,0/,14.28K,31.28K,,'0.68%,31637,25853,66663,42662$,577,887,2026$
362,375,Fidelity National Financial,8469.0,1062,10677.0,6854.3,23484,fnf.com,198952,0,0/,0/,0/,5.53K,12.1K,,'0.68%,,,,,,,
363,376,Erie Insurance Group,8443.3,551,23346.7,-,5778,erieinsurance.com,85450,0,0/,0/,0/,12.87K,28.19K,,'0.68%,,,,,,,
364,377,Oshkosh,8382.0,579.4,5566.3,4394.4,15400,oshkoshcorporation.com,3542745,0,0/,0/,0/,310,678.9,,'0.68%,,,,,,,
365,378,Casey's General Stores,8364.9,203.9,3731.4,4874.8,26866,caseys.com,97404,0,0/,0/,0/,11.29K,24.73K,,'0.68%,,,,,,,
366,379,WESCO International,8358.9,223.4,5017.6,956.8,9500,wesco.com,240185,0,0/,0/,0/,4.58K,10.03K,,'0.68%,43747,13223,24752,43557$,0,0,0$
367,380,Tractor Supply,8351.9,562.4,5289.3,9809.9,24000,tractorsupply.com,12332,0,0/,0/,0/,89.2K,195.34K,,'0.68%,609,712838,5029865,2452968$,21959,247845,101698$
368,381,CommScope Holding,8345.1,-929.5,14431.6,1779,30000,commscope.com,66573,0,0/,0/,0/,16.52K,36.19K,,'0.68%,,,,,,,
369,382,Huntsman,8342.0,562,8320.0,3217.2,10000,huntsman.com,202107,0,0/,0/,0/,5.44K,11.92K,,'0.68%,43933,17318,32297,10788$,28,37,33$
370,383,American Financial Group,8237.0,897,70130.0,6331,7700,afginc.com,3347355,0,0/,0/,0/,328,715.4,,'0.68%,258861,2163,4079,10384$,0,0,0$
371,384,Masco,8235.0,935,5027.0,9118,22000,masco.com,531677,0,0/,0/,0/,2.07K,4.53K,,'0.68%,,,,,,,
372,385,Sanmina,8233.9,141.5,3905.5,1927.2,38500,sanmina.com,207939,0,0/,0/,0/,5.29K,11.59K,,'0.68%,,,,,,,
373,386,Amphenol,8225.4,1155,10815.5,21725.6,74000,amphenol.com,307173,0,0/,0/,0/,3.58K,7.84K,,'0.68%,,,,,,,
374,387,Williams,8201.0,850,46040.0,17165.7,4812,williams.com,199247,0,0/,0/,0/,5.52K,12.09K,,'0.68%,25434,4807,45593,105428$,0,0,0$
375,388,Westinghouse Air Brake,8200.0,326.7,18944.2,9227.1,27500,wabtec.com,668466,143,44,38,4.,1.65K,3.61K,,'0.68%,175006,1975,4310,4561$,0,0,0$
376,389,Expeditors Intl. of Washington,8175.4,590.4,3691.9,11208.2,18000,expeditors.com,99818,0,0/,0/,0/,11.02K,24.13K,,'0.68%,37253,32276,54519,111203$,0,0,0$
377,390,Andersons,8170.2,18.3,3900.7,628.7,2284,andersonsinc.com,2680764,0,0/,0/,0/,410,897.9,,'0.68%,88272,850,16091,9714$,0,0,0$
378,391,Westlake Chemical,8118.0,421,13261.0,4900.8,9430,westlake.com,1064202,0,0/,0/,0/,1.03K,2.26K,,'0.68%,125138,1005,13588,25122$,0,0,0$
379,392,Constellation Brands,8116.0,3435.9,29231.5,27601.3,9800,cbrands.com,173240,0,0/,0/,0/,6.35K,13.91K,,'0.68%,,,,,,,
380,393,Frontier Communications,8107.0,-5911,17488.0,39.9,18317,frontier.com,8848,0,0/,0/,0/,124.32K,272.26K,,'0.68%,,,,,,,
381,394,JetBlue Airways,8094.0,569,11918.0,2525.7,19032,jetblue.com,3948,0,0/,0/,0/,278.62K,610.19K,,'0.68%,,,,,,,
382,395,Citizens Financial Group,8066.0,1791,165733.0,8040,17997,citizensbank.com,13619,0,0/,0/,0/,80.77K,176.89K,,'0.68%,1443,164654,1835730,3272183$,268,1248,11297$
383,396,Raymond James Financial,8023.0,1034,38830.0,8802.7,14200,raymondjames.com,93383,0,0/,0/,0/,11.78K,25.8K,,'0.68%,,,,,,,
384,397,Foot Locker,8005.0,491,6589.0,2297.4,33294,footlocker-inc.com,626299,179,40,50,4/,1.76K,3.85K,,'0.68%,,,,,,,
385,398,Hershey,7986.3,1149.7,8140.4,27791.8,15330,thehersheycompany.com,150992,102625,55,62,6.,7.29K,15.96K,,'0.68%,10128,25339,137370,141126$,0,0,0$
386,399,Zimmer Biomet Holdings,7982.2,1131.6,24638.7,20891.4,19900,www.zimmerbiomet.com,795763,0,0/,0/,0/,1.38K,3.03K,,'0.68%,155151,894,5059,3582$,6,0,0$
387,400,Cincinnati Financial,7924.2,1997.4,25407.9,12241.5,5200,cinfin.com,174326,0,0/,0/,0/,6.31K,13.82K,,'0.68%,,,,,,,
388,401,Western & Southern Financial Group,7920.5,244.9,54702.7,-,2787,westernsouthern.com,1199458,0,0/,0/,0/,917,2.01K,,'0.68%,83889,5560,17143,86857$,0,0,0$
389,402,W.R. Berkley,7902.2,681.9,26643.4,9569.1,7493,wrberkley.com,422577,0,0/,0/,0/,2.6K,5.7K,,'0.68%,136349,1007,5939,22809$,0,0,0$
390,403,Motorola Solutions,7887.0,868,10642.0,22802.9,17000,motorolasolutions.com,38213,0,0/,0/,0/,28.79K,63.04K,,'0.68%,,,,,,,
391,405,Regeneron Pharmaceuticals,7863.4,2115.8,14805.2,53721.6,8100,regeneron.com,236729,0,0/,0/,0/,4.65K,10.18K,,'0.68%,27506,3185,46296,67181$,0,0,0$
392,406,Spirit AeroSystems Holdings,7863.1,530.1,7606.0,2506.5,18200,spiritaero.com,568331,0,0/,0/,0/,1.94K,4.24K,,'0.68%,,,,,,,
393,407,J.M. Smucker,7838.0,514.4,16711.3,12658.2,7400,jmsmucker.com,492100,0,0/,0/,0/,2.24K,4.9K,,'0.68%,,,,,,,
394,408,PPL,7769.0,1746,45680.0,18949.6,12280,pplweb.com,1175098,0,0/,0/,0/,936,2.05K,,'0.68%,,,,,,,
395,409,Insight Enterprises,7731.2,159.4,4178.2,1485.7,11261,insight.com,43623,0,0/,0/,0/,25.22K,55.22K,,'0.68%,35480,209305,53410,101163$,2091,3667,20274$
396,410,Quest Diagnostics,7726.0,858,12843.0,10716.4,47000,questdiagnostics.com,11063,0,0/,0/,0/,99.43K,217.75K,,'0.68%,,,,,,,
397,411,KeyCorp,7694.0,1717,144988.0,10057.8,17045,key.com,8083,0,0/,0/,0/,136.09K,298.03K,,'0.68%,,,,,,,
398,412,Veritiv,7659.4,-29.5,2511.1,126.9,8000,veritivcorp.com,578520,335,41,40,5.,1.9K,4.16K,,'0.68%,117094,964,7193,942$,0,0,0$
399,413,DCP Midstream,7625.0,17,14127.0,847.9,2250,dcpmidstream.com,1359182,0,0/,0/,0/,809,1.77K,,'0.68%,,,,,,,
400,414,American Tower,7580.3,1887.8,42801.6,96444,5454,americantower.com,61990,0,0/,0/,0/,17.74K,38.86K,,'0.68%,,,,,,,
401,415,Graybar Electric,7523.9,144.5,2517.7,-,9000,graybar.com,106091,0,0/,0/,0/,10.37K,22.7K,,'0.68%,,,,,,,
402,416,WEC Energy Group,7523.1,1134,34951.8,27799.2,7509,www.wecenergygroup.com,112281,429,39,49,3.,9.8K,21.45K,,'0.68%,89476,2875,20590,25960$,0,0,0$
403,417,NVR,7428.4,878.5,3809.8,9475,5700,nvrinc.com,1014765,0,0/,0/,0/,1.08K,2.37K,,'0.68%,,,,,,,
404,418,Ulta Beauty,7398.1,705.9,4863.9,9893.6,31000,ulta.com,3151,0,0/,0/,0/,349.1K,764.52K,,'0.68%,,,,,,,
405,419,Devon Energy,7372.0,-355,13717.0,2645.8,1800,devonenergy.com,762066,0,0/,0/,0/,1.44K,3.16K,,'0.68%,,,,,,,
406,420,Blackstone Group,7338.3,2049.7,32585.5,30696.4,2905,blackstone.com,106127,0,0/,0/,0/,10.36K,22.7K,,'0.68%,,,,,,,
407,421,Dean Foods,7328.7,-499.9,2228.6,9.7,14500,deanfoods.com,433461,0,0/,0/,0/,2.54K,5.56K,,'0.68%,,,,,,,
408,422,Fortive,7326.1,738.9,17439.0,18566.8,25000,fortive.com,407009,0,0/,0/,0/,2.7K,5.92K,,'0.68%,109508,4882,14313,9203$,0,0,0$
409,423,UGI,7320.4,256.2,13346.6,5562,12800,ugicorp.com,1156594,0,0/,0/,0/,951,2.08K,,'0.68%,,,,,,,
410,424,Burlington Stores,7286.4,465.1,5593.9,10441.3,47000,burlingtonstores.com,99999999,0,0/,0/,0/,11,21.9,,'0.68%,,,,,,,
411,425,Builders FirstSource,7280.4,221.8,3249.5,1420.3,15800,bldr.com,323687,0,0/,0/,0/,3.4K,7.44K,,'0.68%,,,,,,,
412,426,Toll Brothers,7224.0,590,10828.1,2439.6,5100,tollbrothers.com,62304,0,0/,0/,0/,17.66K,38.67K,,'0.68%,14526,55627,90257,81962$,9070,15046,35769$
413,427,Old Republic International,7213.7,1056.4,21076.3,4634.9,9000,oldrepublic.com,5229934,0,0/,0/,0/,210,459.9,,'0.68%,,,,,,,
414,428,Asbury Automotive Group,7210.3,184.4,2911.3,1064.8,8500,asburyauto.com,208784,0,0/,0/,0/,5.27K,11.53K,,'0.68%,65745,98358,23126,90892$,0,0,0$
415,429,Arthur J. Gallagher,7195.0,668.8,19634.8,15454.9,33247,ajg.com,124286,0,0/,0/,0/,8.85K,19.38K,,'0.68%,,,,,,,
416,430,MasTec,7183.2,392.3,4997.0,2506.6,21000,mastec.com,513615,0,0/,0/,0/,2.14K,4.69K,,'0.68%,,,,,,,
417,431,Owens Corning,7160.0,405,10006.0,4200.9,19000,owenscorning.com,151166,0,0/,0/,0/,7.28K,15.94K,,'0.68%,,,,,,,
418,432,Magellan Health,7159.4,55.9,3092.2,1188.2,10100,magellanhealth.com,499695,0,0/,0/,0/,2.2K,4.82K,,'0.68%,,,,,,,
419,433,Dover,7136.4,677.9,8669.5,12094.4,24000,dovercorporation.com,259262,0,0/,0/,0/,4.24K,9.29K,,'0.68%,67333,6843,26266,31750$,0,0,0$
420,435,Avery Dennison,7070.1,303.6,5488.8,8485.4,30000,averydennison.com,132427,0,0/,0/,0/,8.31K,18.19K,,'0.68%,,,,,,,
421,436,Hanesbrands,6966.9,600.7,7354.0,2816.5,63000,hanes.com,49568,0,0/,0/,0/,22.19K,48.6K,,'0.68%,,,,,,,
422,438,M&T Bank,6941.3,1929.1,119872.8,13440.8,17386,mtb.com,9326,0,0/,0/,0/,117.95K,258.31K,,'0.68%,,,,,,,
423,439,NCR,6915.0,564,8987.0,2287,36000,ncr.com,51328,0,0/,0/,0/,21.43K,46.93K,,'0.68%,,,,,,,
424,440,Northern Trust,6895.1,1492.2,136828.4,15791.3,19800,northerntrust.com,119271,0,0/,0/,0/,9.22K,20.2K,,'0.68%,,,,,,,
425,441,Cintas,6892.3,885,7436.7,18023.6,45000,cintas.com,123910,0,0/,0/,0/,8.88K,19.44K,,'0.68%,,,,,,,
426,442,Polaris,6863.4,324,4430.5,2959,14000,polaris.com,38292,0,0/,0/,0/,28.73K,62.91K,,'0.68%,,,,,,,
427,443,CMS Energy,6845.0,680,26837.0,16697.2,8459,cmsenergy.com,515591,0,0/,0/,0/,2.13K,4.67K,,'0.68%,97090,2463,14280,22007$,0,0,0$
428,444,Seaboard,6840.0,283,6285.0,3273.8,13100,seaboardcorp.com,2018750,0,0/,0/,0/,544,1.19K,,'0.68%,322964,784,3056,1332$,0,0,0$
429,445,Intuit,6784.0,1557,6283.0,59912.6,9400,intuit.com,254,42893,61,87,6.,4.33M,9.48M,,'0.68%,274,1445740,12048141,27355987$,16461,837660,2601601$
430,446,Regions Financial,6755.0,1582,126240.0,8587.8,19564,regions.com,4367,0,0/,0/,0/,251.89K,551.64K,,'0.68%,,,,,,,
431,447,FM Global,6743.1,2479.3,25053.8,-,5591,fmglobal.com,366637,0,0/,0/,0/,3K,6.57K,,'0.68%,,,,,,,
432,448,Advanced Micro Devices,6731.0,341,6028.0,53250.4,11400,amd.com,1949,0,0/,0/,0/,564.39K,1.24M,,'0.68%,2363,199447,1140292,1108717$,2917,74855,129281$
433,450,Booz Allen Hamilton Holding,6704.0,418.5,3831.8,9624.3,26100,boozallen.com,72693,0,0/,0/,0/,15.13K,33.14K,,'0.68%,,,,,,,
434,451,S&P Global,6699.0,2123,11348.0,59042.2,22500,spglobal.com,27752,0,0/,0/,0/,39.64K,86.8K,,'0.68%,,,,,,,
435,452,Rockwell Automation,6694.8,695.8,6113.0,17533.3,23000,rockwellautomation.com,21557,0,0/,0/,0/,51.03K,111.75K,,'0.68%,,,,,,,
436,454,Wynn Resorts,6611.1,123,13871.3,6471.4,30200,wynnresorts.com,588696,0,0/,0/,0/,1.87K,4.09K,,'0.68%,90514,459,10038,10476$,0,0,0$
437,455,Securian Financial Group,6600.6,434.8,63138.3,-,6400,securian.com,176714,0,0/,0/,0/,6.22K,13.63K,,'0.68%,,,,,,,
438,456,Alliance Data Systems,6580.9,278,26494.8,1602.7,8500,alliancedata.com,142202,0,0/,0/,0/,7.74K,16.94K,,'0.68%,89685,1602,12874,5077$,0,0,0$
439,457,Weyerhaeuser,6554.0,-76,16406.0,12636.5,9400,weyerhaeuser.com,387732,0,0/,0/,0/,2.84K,6.21K,,'0.68%,40569,4911,27534,14866$,0,0,0$
440,457,Brighthouse Financial,6554.0,-740,227259.0,2540.2,1330,brighthousefinancial.com,305579,0,0/,0/,0/,3.6K,7.88K,,'0.68%,,,,,,,
441,459,Intercontinental Exchange,6547.0,1933,94493.0,44342.9,5989,theice.com,50985,0,0/,0/,0/,21.57K,47.25K,,'0.68%,23537,37040,51651,97916$,114,75,84$
442,460,American Axle & Manufacturing,6530.9,-484.5,6644.6,408.1,20000,aam.com,445841,0,0/,0/,0/,2.47K,5.4K,,'0.68%,,,,,,,
443,461,Hess,6510.0,-408,21782.0,10163.6,1775,hess.com,399836,0,0/,0/,0/,2.75K,6.02K,,'0.68%,,,,,,,
444,462,ABM Industries,6498.6,127.4,3692.6,1623.1,140000,abm.com,158778,0,0/,0/,0/,6.93K,15.17K,,'0.68%,,,,,,,
445,463,Activision Blizzard,6489.0,1503,19845.0,45753.3,9200,activisionblizzard.com,180772,0,0/,0/,0/,6.09K,13.33K,,'0.68%,,,,,,,
446,465,Apache,6411.0,-3553,18107.0,1577.2,3163,apachecorp.com,393767,0,0/,0/,0/,2.79K,6.12K,,'0.68%,,,,,,,
447,466,Science Applications International,6379.0,226,4711.0,4316.9,24311,saic.com,82317,0,0/,0/,0/,13.36K,29.27K,,'0.68%,,,,,,,
448,467,AK Steel Holding,6359.4,11.2,4590.6,-,9300,aksteel.com,573616,0,0/,0/,0/,1.92K,4.2K,,'0.68%,,,,,,,
449,468,Dillard's,6343.2,111.1,3430.3,863.8,30400,dillards.com,12826,0,0/,0/,0/,85.76K,187.82K,,'0.68%,,,,,,,
450,469,Ralph Lauren,6313.0,430.9,5942.8,4928.3,18650,ralphlauren.com,6614,15808,59,79,5.,166.31K,364.23K,,'0.68%,,,,,,,
451,470,Celanese,6297.0,852,9476.0,8775,7714,celanese.com,424719,0,0/,0/,0/,2.59K,5.67K,,'0.68%,102119,4436,17613,4227$,0,0,0$
452,471,R.R. Donnelley & Sons,6276.2,-93.2,3330.1,68,36400,rrdonnelley.com,211245,0,0/,0/,0/,5.21K,11.4K,,'0.68%,,,,,,,
453,472,Zoetis,6260.0,1500,11545.0,55895,10600,zoetis.com,287082,0,0/,0/,0/,3.83K,8.39K,,'0.68%,172254,3697,4411,5466$,0,0,0$
454,473,Ascena Retail Group,6242.8,-661.4,2699.8,13.9,33000,ascenaretail.com,317550,329,38,38,3.,3.46K,7.58K,,'0.68%,,,,,,,
455,474,Clorox,6214.0,820,5116.0,21673.5,8800,thecloroxcompany.com,306044,0,0/,0/,0/,3.59K,7.87K,,'0.68%,55440,16076,33462,40707$,0,0,0$
456,475,Ingredion,6209.0,413,6040.0,5049.6,11000,ingredion.com,720354,0,0/,0/,0/,1.53K,3.34K,,'0.68%,,,,,,,
457,476,First American Financial,6202.1,707.4,11519.2,4790.6,18412,firstam.com,47792,0,0/,0/,0/,23.02K,50.41K,,'0.68%,,,,,,,
458,477,Graphic Packaging Holding,6160.1,206.8,7289.9,3542,18000,graphicpkg.com,637686,445,41,49,4.,1.72K,3.77K,,'0.68%,,,,,,,
459,478,NetApp,6146.0,1169,8741.0,9220.9,10500,netapp.com,17476,0,0/,0/,0/,62.94K,137.85K,,'0.68%,,,,,,,
460,478,HD Supply Holdings,6146.0,452,4715.0,4605.3,11500,hdsupply.com,328185,0,0/,0/,0/,3.35K,7.34K,,'0.68%,,,,,,,
461,482,Robert Half International,6074.4,454.4,2311.4,4345.8,16000,roberthalf.com,17208,0,0/,0/,0/,63.92K,139.99K,,'0.68%,4496,235836,549038,1226932$,1855,4746,9923$
462,483,EnLink Midstream,6052.9,-1119.3,9335.8,537.3,1355,enlink.com,1105330,0,0/,0/,0/,995,2.18K,,'0.68%,193499,1963,5956,1689$,0,0,0$
463,485,Tapestry,6027.1,643.4,6877.3,3574.6,17400,tapestry.com,139263,0,0/,0/,0/,7.9K,17.29K,,'0.68%,45984,9497,42138,25405$,0,0,0$
464,486,TD Ameritrade Holding,6016.0,2208,43786.0,18738.8,9226,amtd.com,899993,0,0/,0/,0/,1.22K,2.68K,,'0.68%,,,,,,,
465,487,Analog Devices,5991.1,1363,21392.6,33010.9,16400,analog.com,8231,0,0/,0/,0/,133.64K,292.67K,,'0.68%,,,,,,,
466,488,Ameren,5910.0,828,28933.0,17969.9,9323,ameren.com,35279,0,0/,0/,0/,31.18K,68.28K,,'0.68%,,,,,,,
467,489,Williams-Sonoma,5898.0,356.1,4054.0,3282.4,19300,williams-sonomainc.com,204694,0,0/,0/,0/,5.37K,11.77K,,'0.68%,23323,8227,50863,12250$,0,0,0$
468,490,Realogy Holdings,5870.0,-188,7543.0,346.9,10150,realogy.com,256183,0,0/,0/,0/,4.29K,9.4K,,'0.68%,,,,,,,
469,491,Commercial Metals,5829.0,198.1,3758.8,1880,11524,cmc.com,375416,0,0/,0/,0/,2.93K,6.42K,,'0.68%,,,,,,,
470,492,Rush Enterprises,5809.8,141.6,3407.3,1145.6,7244,rushenterprises.com,1493147,0,0/,0/,0/,736,1.61K,,'0.68%,236487,3581,4606,8788$,0,0,0$
471,493,Franklin Resources,5774.5,1195.7,14532.2,8293.2,9597,franklinresources.com,871801,0,0/,0/,0/,1.26K,2.76K,,'0.68%,376947,2631,2486,4557$,0,0,0$
472,494,Fortune Brands Home & Security,5764.6,431.9,6291.3,6042.3,24700,fbhs.com,1418720,0,0/,0/,0/,775,1.7K,,'0.68%,,,,,,,
473,495,Levi Strauss,5763.1,394.6,4232.4,4961.2,15800,levistrauss.com,175158,0,0/,0/,0/,6.28K,13.75K,,'0.68%,,,,,,,
474,496,Crown Castle International,5763.0,860,38457.0,60178.6,5100,crowncastle.com,219735,0,0/,0/,0/,5.01K,10.96K,,'0.68%,,,,,,,
475,497,Simon Property Group,5755.2,2101.6,31231.6,16834.8,3750,simon.com,19946,0,0/,0/,0/,55.15K,120.77K,,'0.68%,461,641613,7128390,6668950$,72,6089,8051$
476,498,Cerner,5692.6,529.5,6894.6,19164.4,27400,cerner.com,16746,0,0/,0/,0/,65.69K,143.85K,,'0.68%,20870,27123,108434,454001$,0,0,0$
477,499,Post Holdings,5681.1,124.7,11951.6,5732,10100,postholdings.com,661570,0,0/,0/,0/,1.66K,3.64K,,'0.68%,138223,3890,10482,7595$,0,0,0$
478,500,Huntington Bancshares,5655.0,1411,109002.0,8398.6,15664,huntington.com,6254,0,0/,0/,0/,175.89K,385.19K,,'0.68%,,,,,,,
479,501,KBR,5639.0,202,5364.0,2942.6,28000,kbr.com,121839,0,0/,0/,0/,9.03K,19.77K,,'0.68%,,,,,,,
480,502,Sprouts Farmers Market,5634.8,149.6,2723.0,2185.1,30000,sprouts.com,29239,0,0/,0/,0/,37.62K,82.39K,,'0.68%,,,,,,,
481,503,LPL Financial Holdings,5624.9,559.9,5880.2,4305.4,4343,lpl.com,61124,0,0/,0/,0/,18K,39.41K,,'0.68%,,,,,,,
482,504,T. Rowe Price,5617.9,2131.3,9330.4,22788.1,7365,troweprice.com,12069,168,52,63,4.,91.14K,199.6K,,'0.68%,3633,41965,447505,547186$,10137,36298,155746$
483,505,Yum Brands,5597.0,1294,5231.0,20615.4,34000,yum.com,62571,0,0/,0/,0/,17.58K,38.5K,,'0.68%,20461,8922,65616,116132$,0,0,0$
484,506,Chipotle Mexican Grill,5586.4,350.2,5104.6,18171.4,83000,chipotle.com,11046,0,0/,0/,0/,99.58K,218.09K,,'0.68%,,,,,,,
485,507,Patterson,5574.5,83.6,3269.3,1464.9,7800,pattersoncompanies.com,139861,0,0/,0/,0/,7.86K,17.22K,,'0.68%,,,,,,,
486,508,RPM International,5564.6,266.6,5441.4,7721.1,14957,rpminc.com,1451815,0,0/,0/,0/,757,1.66K,,'0.68%,169803,2505,7026,5049$,0,0,0$
487,509,Equinix,5562.1,507.5,23965.6,53365.7,8378,equinix.com,43956,0,0/,0/,0/,25.03K,54.81K,,'0.68%,,,,,,,
488,510,Navient,5529.0,597,94903.0,1465.5,5800,navient.com,5275,0,0/,0/,0/,208.53K,456.68K,,'0.68%,,,,,,,
489,511,Chemours,5526.0,-52,7258.0,1455.9,7000,chemours.com,150540,0,0/,0/,0/,7.31K,16K,,'0.68%,,,,,,,
490,512,ON Semiconductor,5517.9,211.7,8425.5,5113.7,34800,onsemi.com,31791,0,0/,0/,0/,34.6K,75.77K,,'0.68%,22057,74682,93181,139835$,137,175,249$
491,513,TransDigm Group,5517.2,889.8,16254.7,17190.3,18300,transdigm.com,1211776,0,0/,0/,0/,907,1.99K,,'0.68%,,,,,,,
492,514,Host Hotels & Resorts,5469.0,920,12305.0,7792.9,175,hosthotels.com,690968,0,0/,0/,0/,1.59K,3.48K,,'0.68%,285370,8266,4066,1545$,0,0,0$
493,517,Sonoco Products,5374.2,291.8,5126.3,4650.7,23000,sonoco.com,283149,0,0/,0/,0/,3.88K,8.5K,,'0.68%,,,,,,,
494,519,Harley-Davidson,5361.8,423.6,10528.2,2892.7,5600,harley-davidson.com,7840,0,0/,0/,0/,140.31K,307.27K,,'0.68%,1244,104450,1549029,1023853$,3021,52131,28279$
495,520,Jefferies Financial Group,5358.7,964.7,49460.2,3788.1,4800,jefferies.com,193137,0,0/,0/,0/,5.7K,12.48K,,'0.68%,,,,,,,
496,521,Kelly Services,5355.6,112.4,2480.6,496.4,7700,kellyservices.com,99999999,0,0/,0/,0/,11,21.9,,'0.68%,,,,,,,
497,522,Microchip Technology,5349.5,355.9,18350.0,16240.7,18286,microchip.com,11640,0,0/,0/,0/,94.5K,206.96K,,'0.68%,,,,,,,
498,523,McCormick,5347.4,702.7,10362.1,18767.4,12400,mccormickcorporation.com,638020,0,0/,0/,0/,1.72K,3.77K,,'0.68%,,,,,,,
499,524,MDU Resources Group,5336.9,335.5,7683.1,4310.2,13359,mdu.com,882236,0,0/,0/,0/,1.25K,2.73K,,'0.68%,,,,,,,
500,525,Fastenal,5333.7,790.9,3799.9,17949.9,21948,fastenal.com,39105,0,0/,0/,0/,28.13K,61.6K,,'0.68%,,,,,,,
501,526,Big Lots,5323.2,242.5,3189.3,557,22250,biglots.com,18127,0,0/,0/,0/,60.68K,132.9K,,'0.68%,,,,,,,
502,527,Penn National Gaming,5301.4,43.9,14194.5,1478.3,28300,pngaming.com,710657,0,0/,0/,0/,1.55K,3.39K,,'0.68%,,,,,,,
503,528,Western Union,5292.1,1058.3,8758.5,7489.9,11500,westernunion.com,2575,127598,59,78,5.,427.18K,935.53K,,'0.68%,971,489990,3604330,6839175$,3040,20672,55516$
504,529,Under Armour,5267.1,92.1,4843.5,3878.1,11700,uabiz.com,528431,3,34,50,3.,2.08K,4.56K,,'0.68%,63415,4165,17494,29802$,0,0,0$
505,530,Xylem,5249.0,401,7710.0,11737.9,16300,xyleminc.com,238295,0,0/,0/,0/,4.62K,10.11K,,'0.68%,,,,,,,
506,531,Skechers U.S.A.,5242.5,346.6,4892.9,3724.9,8550,skx.com,2552846,0,0/,0/,0/,430,941.7,,'0.68%,136556,619,9282,5707$,0,0,0$
507,532,Domtar,5220.0,84,4903.0,1217.8,10000,domtar.com,431371,0,0/,0/,0/,2.55K,5.58K,,'0.68%,,,,,,,
508,533,NiSource,5208.9,383.1,22659.8,9545.1,8363,nisource.com,308642,0,0/,0/,0/,3.56K,7.8K,,'0.68%,,,,,,,
509,534,Marathon Oil,5190.0,480,20245.0,2618.3,2000,marathonoil.com,336976,0,0/,0/,0/,3.26K,7.15K,,'0.68%,,,,,,,
510,535,National General Holdings,5179.6,348.1,9756.5,1881.9,9200,nationalgeneral.com,75673,0,0/,0/,0/,14.54K,31.84K,,'0.68%,,,,,,,
511,537,Agilent Technologies,5163.0,1071,9452.0,22177.2,16300,agilent.com,23093,0,0/,0/,0/,47.63K,104.32K,,'0.68%,18868,103247,121765,214438$,3530,36730,157340$
512,538,Ametek,5158.6,861.3,9844.6,16506.3,18100,ametek.com,161154,0,0/,0/,0/,6.83K,14.95K,,'0.68%,81090,6849,23401,28978$,0,0,0$
513,540,International Flavors & Fragrances,5140.1,455.9,13287.4,10902.4,13668,iff.com,218670,0,0/,0/,0/,5.03K,11.02K,,'0.68%,,,,,,,
514,541,ADT,5125.7,-424.2,16083.7,3282.7,17500,adt.com,58910,0,0/,0/,0/,18.67K,40.89K,,'0.68%,4399,80914,564515,6728292$,15821,119210,846397$
515,542,Welltower,5121.3,1232.4,33380.8,18795.2,443,www.welltower.com,886266,0,0/,0/,0/,1.24K,2.72K,,'0.68%,168597,2444,9162,15597$,0,0,0$
516,543,Windstream Holdings,5115.4,-3090,9897.5,2.2,11945,windstream.com,44688,0,0/,0/,0/,24.62K,53.91K,,'0.68%,4675,54671,304972,1060244$,318,12921,26802$
517,544,Michaels,5072.0,272.6,3838.1,237.9,28000,michaels.com,4581,0,0/,0/,0/,240.12K,525.87K,,'0.68%,293,1180500,11539897,4613493$,3873,530198,403093$
518,545,Kemper,5039.2,531.1,12989.1,4970.1,8900,kemper.com,176400,0,0/,0/,0/,6.24K,13.66K,,'0.68%,,,,,,,
519,546,Hyatt Hotels,5020.0,766,8417.0,4852.5,55000,hyatt.com,4637,0,0/,0/,0/,237.22K,519.52K,,'0.68%,,,,,,,
520,547,Alexion Pharmaceuticals,4991.1,2404.3,17544.6,19942.4,3082,alexion.com,508693,0,0/,0/,0/,2.16K,4.74K,,'0.68%,64914,4961,29480,150631$,0,0,0$
521,548,Resideo Technologies,4988.0,36,5128.0,595,13000,resideo.com,172653,0,0/,0/,0/,6.37K,13.95K,,'0.68%,123921,13726,12470,10070$,388,18780,19828$
522,549,CACI International,4986.3,265.6,5086.8,5293.9,22100,caci.com,76343,0,0/,0/,0/,14.41K,31.55K,,'0.68%,,,,,,,
523,550,Electronic Arts,4950.0,1019,8957.0,29016.7,9700,ea.com,762,0,0/,0/,0/,1.44M,3.16M,,'0.68%,380,780838,9009658,30948637$,117,38842,71845$
524,551,Vulcan Materials,4929.1,617.7,10648.8,14325.2,9173,vulcanmaterials.com,578869,495,47,51,4.,1.9K,4.16K,,'0.68%,41136,2876,26629,14716$,0,0,0$
525,552,TreeHouse Foods,4926.9,-361,5139.4,2484,10800,treehousefoods.com,677029,0,0/,0/,0/,1.62K,3.56K,,'0.68%,108855,4925,15227,9829$,0,0,0$
526,553,Global Payments,4911.9,430.6,44480.2,43287.5,24000,globalpaymentsinc.com,252639,0,0/,0/,0/,4.35K,9.53K,,'0.68%,,,,,,,
