,Rank,Company,Revenue($m),Profits($m),Assets($m),Market Value($m),Employees,Domain,Alexa Rank,Back Links,Page Authority,Domain Authority,Moz Rank,Page Views,Domain Worth,Code Size,Text to Code Ratio,Semrush Rank,Organic Keywords,Organic Traffic,Opportunity Cost,Adwords Keywords,Adwords Traffic,Adwords Budget
241,247,United States Steel,12937.0,-630,11608.0,1074.3,27500,ussteel.com,344737,8,40,52,3.,3.19K,6.99K,,'0.68%,28547,3897,41041,24805$,0,0,0$
242,248,L Brands,12914.2,-366.4,10125.0,3196.7,59950,lb.com,116005,0,0/,0/,0/,9.48K,20.77K,,'0.68%,,,,,,,
243,249,MGM Resorts International,12899.7,2049.1,33876.4,5813.8,72000,mgmresorts.com,10701,0,0/,0/,0/,102.79K,225.12K,,'0.68%,,,,,,,
244,251,DISH Network,12807.7,1399.5,33230.9,10455.8,16000,dish.com,15623,0,0/,0/,0/,70.41K,154.2K,,'0.68%,1103,442969,3127850,3747673$,10029,297346,705323$
245,252,Lithia Motors,12672.7,271.5,6083.9,1910,14320,lithia.com,670297,0,0/,0/,0/,1.64K,3.59K,,'0.68%,,,,,,,
246,253,DTE Energy,12669.0,1169,41882.0,18289.5,10700,dteenergy.com,31614,0,0/,0/,0/,34.79K,76.2K,,'0.68%,,,,,,,
247,254,American Family Insurance Group,12633.2,455.9,31123.7,-,13531,amfam.com,43128,0,0/,0/,0/,25.51K,55.86K,,'0.68%,,,,,,,
248,255,Farmers Insurance Exchange,12592.5,55.3,17456.5,-,10980,farmers.com,18393,0,0/,0/,0/,59.81K,130.98K,,'0.68%,,,,,,,
249,256,Consolidated Edison,12574.0,1343,58079.0,26034.5,14890,conedison.com,539687,0,0/,0/,0/,2.04K,4.46K,,'0.68%,,,,,,,
250,257,LKQ,12506.1,541.3,12780.0,6310.7,51000,lkqcorp.com,219648,0,0/,0/,0/,5.01K,10.96K,,'0.68%,,,,,,,
251,258,Sempra Energy,12443.0,2197,65665.0,33037.4,13969,sempra.com,326300,0,0/,0/,0/,3.37K,7.38K,,'0.68%,,,,,,,
252,260,CenterPoint Energy,12301.0,791,35439.0,7765.4,14262,centerpointenergy.com,27577,0,0/,0/,0/,39.89K,87.35K,,'0.68%,,,,,,,
253,261,Quanta Services,12112.2,402,8331.7,4537.2,40300,quantaservices.com,525925,0,0/,0/,0/,2.09K,4.58K,,'0.68%,,,,,,,
254,262,Murphy USA,12101.3,154.8,2687.2,2556.8,7250,murphyusa.com,513391,4751,47,50,4.,2.14K,4.69K,,'0.68%,,,,,,,
255,264,Group 1 Automotive,12043.8,174,5570.2,813.2,15296,group1auto.com,860967,0,0/,0/,0/,1.28K,2.8K,,'0.68%,121382,6066,4556,15733$,0,0,0$
256,265,Bed Bath & Beyond,12028.8,-137.2,6570.5,534.5,62000,bedbathandbeyond.com,1822,0,0/,0/,0/,603.73K,1.32M,,'0.68%,141,3011974,21702733,16002705$,11986,1076847,655533$
257,266,Unum Group,11998.9,1100.3,67013.4,3046.6,10300,unum.com,61589,0,0/,0/,0/,17.86K,39.11K,,'0.68%,14572,11274,89746,105396$,180,1162,3641$
258,267,CSX,11937.0,3331,38257.0,44161.7,20908,csx.com,172054,0,0/,0/,0/,6.39K,14K,,'0.68%,,,,,,,
259,268,AutoZone,11863.7,1617.2,9895.9,19756.2,75840,autozone.com,3479,0,0/,0/,0/,316.18K,692.44K,,'0.68%,,,,,,,
260,269,Pacific Life,11847.0,725,171473.0,-,3815,pacificlife.com,120753,0,0/,0/,0/,9.11K,19.95K,,'0.68%,,,,,,,
261,271,Charles Schwab,11785.0,3704,294005.0,43278.2,19700,aboutschwab.com,301857,0,0/,0/,0/,3.64K,7.98K,,'0.68%,,,,,,,
262,272,Crown Holdings,11665.0,510,15505.0,7875.8,33043,crowncork.com,332890,0,0/,0/,0/,3.3K,7.23K,,'0.68%,,,,,,,
263,273,Ally Financial,11618.0,1715,180644.0,5402.5,8700,ally.com,2770,0,0/,0/,0/,397.11K,869.67K,,'0.68%,,,,,,,
264,274,Laboratory Corp. of America,11554.8,823.8,18046.4,12297.7,65000,labcorp.com,14486,0,0/,0/,0/,75.94K,166.3K,,'0.68%,,,,,,,
265,275,Live Nation Entertainment,11548.0,69.9,10975.6,9752.6,18200,livenation.com,4842,0,0/,0/,0/,227.18K,497.52K,,'0.68%,1055,334271,1823734,1433464$,430,2046,2495$
266,276,Xcel Energy,11529.0,1372,50448.0,31637.5,11295,xcelenergy.com,21307,0,0/,0/,0/,51.63K,113.06K,,'0.68%,4125,32048,389567,263230$,54,49,91$
267,277,Corning,11503.0,960,28898.0,15664.2,49500,corning.com,48313,0,0/,0/,0/,22.77K,49.86K,,'0.68%,,,,,,,
